Fecha,LME Precio,SHFE Precio,Tipo de cambio
2/1/2018,2256.00,2313.95,19.4899
3/1/2018,2241.00,2305.38,19.3717
4/1/2018,2230.00,2292.44,19.2427
5/1/2018,2205.50,2304.61,19.2737
8/1/2018,2177.50,2293.01,19.2323
9/1/2018,2143.50,2284.70,19.3065
10/1/2018,2159.00,2276.55,19.2405
11/1/2018,2179.00,2304.73,19.3433
12/1/2018,2215.00,2299.99,19.0446
15/01/2018,2227.50,2338.25,18.8113
16/01/2018,2172.00,2295.41,18.8362
17/01/2018,2187.00,2260.29,18.655
18/01/2018,2225.00,2263.88,18.6361
19/01/2018,2256.00,2287.55,18.5813
22/01/2018,2235.00,2277.40,18.7118
23/01/2018,2213.50,2276.62,18.798
24/01/2018,2216.00,2285.14,18.5178
25/01/2018,2237.50,2317.63,18.478
26/01/2018,2238.00,2311.30,18.4672
29/01/2018,2251.50,2318.08,18.6196
30/01/2018,2229.00,2301.15,18.6982
31/01/2018,2224.50,2303.91,18.6069
1/2/2018,2218.00,2281.96,18.4004
2/2/2018,2228.00,2284.49,18.5248
5/2/2018,2202.00,2282.45,18.7009
6/2/2018,2196.00,2271.78,18.6492
7/2/2018,2181.50,2260.91,18.8815
8/2/2018,2168.00,2251.50,18.8623
9/2/2018,2142.00,2257.34,18.6703
12/2/2018,2129.50,2239.65,18.6269
13/02/2018,2123.50,2255.11,18.6025
14/02/2018,2138.00,2247.53,18.5159
22/02/2018,2194.00,2228.63,18.4797
23/02/2018,2210.00,2253.38,18.536
26/02/2018,2188.50,2262.11,18.6594
27/02/2018,2172.50,2254.98,18.6518
28/02/2018,2158.50,2255.45,18.6574
1/3/2018,2143.00,2258.04,18.5659
2/3/2018,2144.00,2267.86,18.6456
5/3/2018,2135.00,2247.53,18.7902
6/3/2018,2136.00,2280.02,18.8331
7/3/2018,2112.50,2268.74,18.861
8/3/2018,2082.50,2242.49,18.8909
9/3/2018,2078.50,2242.97,18.8838
12/3/2018,2097.00,2231.75,18.7246
13/03/2018,2080.00,2205.31,18.7922
14/03/2018,2096.00,2204.33,18.7148
15/03/2018,2062.50,2210.85,18.5812
16/03/2018,2069.00,2202.89,18.6199
19/03/2018,2070.50,2210.60,18.5604
20/03/2018,2073.00,2208.41,18.5854
21/03/2018,2056.50,2202.14,18.7023
22/03/2018,2059.00,2199.55,18.7216
23/03/2018,2049.00,2182.96,18.7614
26/03/2018,2022.00,2187.77,18.6001
27/03/2018,2035.00,2196.96,18.5078
28/03/2018,2009.00,2189.85,18.5364
29/03/2018,1997.00,2193.41,18.3268
3/4/2018,2010.00,2233.95,18.3445
4/4/2018,1972.00,2221.19,18.2709
9/4/2018,2113.00,2241.19,18.2967
10/4/2018,2171.50,2270.99,18.2044
11/4/2018,2253.00,2294.41,18.2244
12/4/2018,2220.50,2274.65,18.1081
13/04/2018,2325.00,2309.05,18.2888
16/04/2018,2358.50,2321.00,18.2753
17/04/2018,2375.50,2365.71,18.2882
18/04/2018,2528.50,2370.38,18.2018
19/04/2018,2602.50,2434.90,18.1353
20/04/2018,2463.00,2386.76,18.087
23/04/2018,2452.00,2364.21,18.0394
24/04/2018,2222.00,2285.57,17.9787
25/04/2018,2248.00,2280.73,18.0333
26/04/2018,2204.00,2273.90,18.2819
27/04/2018,2249.00,2285.60,18.621
2/5/2018,2269.00,2269.18,18.8628
3/5/2018,2349.00,2285.57,18.8139
4/5/2018,2316.00,2289.62,19.053
8/5/2018,2384.00,2303.98,18.8644
9/5/2018,2295.00,2302.98,18.6847
10/5/2018,2327.00,2304.23,18.7878
11/5/2018,2273.50,2319.55,19.0943
14/05/2018,2285.50,2313.35,19.1223
15/05/2018,2313.00,2305.74,19.2017
16/05/2018,2319.50,2314.18,19.4232
17/05/2018,2280.00,2333.81,19.5781
18/05/2018,2297.00,2324.56,19.5387
21/05/2018,2278.50,2317.59,19.2989
22/05/2018,2265.50,2309.47,19.3539
23/05/2018,2227.00,2289.60,19.5214
24/05/2018,2271.00,2301.04,19.7854
25/05/2018,2282.00,2314.64,19.7094
29/05/2018,2260.00,2299.61,19.7033
30/05/2018,2265.50,2291.04,19.9319
31/05/2018,2285.50,2286.96,19.9054
1/6/2018,2271.00,2276.33,19.7528
4/6/2018,2324.50,2284.62,19.7661
5/6/2018,2314.50,2287.65,19.7048
6/6/2018,2317.50,2306.03,19.5608
7/6/2018,2331.00,2333.42,19.5915
8/6/2018,2287.50,2321.21,19.7499
11/6/2018,2300.00,2329.72,19.7322
12/6/2018,2309.00,2327.38,19.9759
13/06/2018,2278.00,2303.08,19.8662
14/06/2018,2277.50,2292.24,19.9934
15/06/2018,2239.50,2254.18,20.3863
19/06/2018,2179.00,2202.75,20.3129
20/06/2018,2179.00,2190.81,20.46
21/06/2018,2167.00,2183.72,20.5281
22/06/2018,2166.00,2183.31,20.4722
25/06/2018,2172.00,2168.89,20.596
26/06/2018,2152.00,2138.64,20.6259
27/06/2018,2204.50,2140.80,20.6953
28/06/2018,2173.00,2144.29,20.716
29/06/2018,2183.00,2135.14,20.6968
2/7/2018,2153.00,2108.25,20.5531
3/7/2018,2165.00,2104.74,20.3937
4/7/2018,2120.50,2116.48,20.3689
5/7/2018,2127.00,2103.02,20.1264
6/7/2018,2098.50,2107.00,20.0908
9/7/2018,2135.50,2138.72,19.8754
10/7/2018,2140.50,2138.34,20.0553
11/7/2018,2120.50,2095.05,19.8633
12/7/2018,2104.50,2115.00,19.6912
13/07/2018,2102.00,2105.05,20.1453
16/07/2018,2130.00,2096.74,19.5974
17/07/2018,2110.00,2094.11,19.4284
